gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
CDK2AP1,HDAC2,0.835,0,0.112,0.193,0.671,0.447,0.015,0.835,interacts-with,CDK2AP1 (interacts-with) HDAC2,FALSE,interacts-with,CDK2AP1 (interacts-with) HDAC2
CDK2AP1,KDM1A,0.504,0,0.113,0.132,0.44,0.457,0.012,0.504,interacts-with,CDK2AP1 (interacts-with) KDM1A,FALSE,interacts-with,CDK2AP1 (interacts-with) KDM1A
CDK2AP1,MBD2,0.666,0,0.057,0.167,0.68,0.253,0.004,0.666,interacts-with,CDK2AP1 (interacts-with) MBD2,FALSE,interacts-with,CDK2AP1 (interacts-with) MBD2
CDK2AP1,MBD3,0.686,0,0.081,0.185,0.639,0.25,0.083,0.686,interacts-with,CDK2AP1 (interacts-with) MBD3,FALSE,interacts-with,CDK2AP1 (interacts-with) MBD3
CDK2AP1,MTA1,0.614,0,0.036,0.114,0.548,0.402,0.109,0.614,interacts-with,CDK2AP1 (interacts-with) MTA1,FALSE,interacts-with,CDK2AP1 (interacts-with) MTA1
CDK2AP1,MTA2,0.682,0,0.12,0.164,0.526,0.449,0.015,0.682,interacts-with,CDK2AP1 (interacts-with) MTA2,FALSE,interacts-with,CDK2AP1 (interacts-with) MTA2
CDK2AP1,MTA3,0.628,0,0.056,0.129,0.703,0.411,0.081,0.628,interacts-with,CDK2AP1 (interacts-with) MTA3,FALSE,interacts-with,CDK2AP1 (interacts-with) MTA3
CDK2AP1,PHF21A,0.196,0,0.041,0.128,0.417,0.171,0.079,0.196,interacts-with,CDK2AP1 (interacts-with) PHF21A,FALSE,interacts-with,CDK2AP1 (interacts-with) PHF21A
CDK2AP1,RCOR1,0.364,0,0.041,0.107,0.405,0.387,0.085,0.364,interacts-with,CDK2AP1 (interacts-with) RCOR1,FALSE,interacts-with,CDK2AP1 (interacts-with) RCOR1
CDK2AP1,RCOR2,0.302,0,0.044,0.104,0.399,0.385,0.036,0.302,interacts-with,CDK2AP1 (interacts-with) RCOR2,FALSE,interacts-with,CDK2AP1 (interacts-with) RCOR2
CDK2AP1,RCOR3,0.255,0,0.022,0.071,0.428,0.34,0.036,0.255,interacts-with,CDK2AP1 (interacts-with) RCOR3,FALSE,interacts-with,CDK2AP1 (interacts-with) RCOR3
CDK2AP1,RBBP7,0.705,0,0.012,0.191,0.673,0.371,0.016,0.705,interacts-with,CDK2AP1 (interacts-with) RBBP7,FALSE,interacts-with,CDK2AP1 (interacts-with) RBBP7
CDK2AP1,SAP30,0.378,0,0.078,0.142,0.431,0.345,0.084,0.378,interacts-with,CDK2AP1 (interacts-with) SAP30,FALSE,interacts-with,CDK2AP1 (interacts-with) SAP30
CDK2AP1,SAP30L,0.19,0,0.148,0.145,0.365,0.206,0.01,0.19,interacts-with,CDK2AP1 (interacts-with) SAP30L,FALSE,interacts-with,CDK2AP1 (interacts-with) SAP30L
CDK2AP1,SAP130,0.185,0,0.05,0.103,0.431,0.145,0.09,0.185,interacts-with,CDK2AP1 (interacts-with) SAP130,FALSE,interacts-with,CDK2AP1 (interacts-with) SAP130
CDK2AP1,SIN3A,0.442,0,0.123,0.11,0.43,0.415,0.004,0.442,interacts-with,CDK2AP1 (interacts-with) SIN3A,FALSE,interacts-with,CDK2AP1 (interacts-with) SIN3A
CDK2AP1,SUDS3,0.384,0,0.197,0.124,0.444,0.264,0.075,0.384,interacts-with,CDK2AP1 (interacts-with) SUDS3,FALSE,interacts-with,CDK2AP1 (interacts-with) SUDS3
CDK2AP1,WIZ,0.2,0,0.035,0.18,0.199,0.249,0.015,0.2,interacts-with,CDK2AP1 (interacts-with) WIZ,FALSE,interacts-with,CDK2AP1 (interacts-with) WIZ
POLE,RFC4,0.359,0,0.026,0.426,0.166,0.376,0.43,0.359,interacts-with,POLE (interacts-with) RFC4,FALSE,interacts-with,POLE (interacts-with) RFC4
POLE,RFC1,0.234,0,0.084,0.272,0.161,0.167,0.393,0.234,interacts-with,POLE (interacts-with) RFC1,FALSE,interacts-with,POLE (interacts-with) RFC1
ABLIM1,CORO1B,0.229,0,0.043,0.128,0.434,0.18,0.008,0.229,interacts-with,ABLIM1 (interacts-with) CORO1B,FALSE,interacts-with,ABLIM1 (interacts-with) CORO1B
ABLIM1,CORO1C,0.345,0,0.048,0.102,0.453,0.114,0,0.345,interacts-with,ABLIM1 (interacts-with) CORO1C,FALSE,interacts-with,ABLIM1 (interacts-with) CORO1C
ABLIM1,FLNB,0.294,0,0.057,0.144,0.442,0.129,0.173,0.294,interacts-with,ABLIM1 (interacts-with) FLNB,FALSE,interacts-with,ABLIM1 (interacts-with) FLNB
ABLIM1,IQGAP1,0.227,0,0.047,0.127,0.422,0.166,0.001,0.227,interacts-with,ABLIM1 (interacts-with) IQGAP1,FALSE,interacts-with,ABLIM1 (interacts-with) IQGAP1
ABLIM1,MYO1C,0.182,0,0.022,0.1,0.342,0.333,0.093,0.182,interacts-with,ABLIM1 (interacts-with) MYO1C,FALSE,interacts-with,ABLIM1 (interacts-with) MYO1C
ABLIM1,MYO5C,0.188,0,0.037,0.146,0.431,0.129,0.192,0.188,interacts-with,ABLIM1 (interacts-with) MYO5C,FALSE,interacts-with,ABLIM1 (interacts-with) MYO5C
ABLIM1,PLEC,0.218,0,0.058,0.127,0.417,0.243,0.001,0.218,interacts-with,ABLIM1 (interacts-with) PLEC,FALSE,interacts-with,ABLIM1 (interacts-with) PLEC
ABLIM1,PLEKHG3,0.208,0,0.015,0.196,0.407,0.2,0.036,0.208,interacts-with,ABLIM1 (interacts-with) PLEKHG3,FALSE,interacts-with,ABLIM1 (interacts-with) PLEKHG3
ABLIM1,SPTBN1,0.331,0,0.02,0.311,0.401,0.344,0.159,0.331,interacts-with,ABLIM1 (interacts-with) SPTBN1,FALSE,interacts-with,ABLIM1 (interacts-with) SPTBN1
ABLIM1,SVIL,0.288,0,0.097,0.134,0.381,0.274,0.404,0.288,interacts-with,ABLIM1 (interacts-with) SVIL,FALSE,interacts-with,ABLIM1 (interacts-with) SVIL
ABLIM1,TMOD1,0.232,0,0.013,0.141,0.387,0.252,0.16,0.232,interacts-with,ABLIM1 (interacts-with) TMOD1,FALSE,interacts-with,ABLIM1 (interacts-with) TMOD1
DLG1,PAWR,0.19,0,0.221,0.321,0.225,0.162,0.074,0.19,interacts-with,DLG1 (interacts-with) PAWR,FALSE,interacts-with,DLG1 (interacts-with) PAWR
DLG1,PARD3,0.434,0,0.058,0.196,0.226,0.144,0.486,0.434,interacts-with,DLG1 (interacts-with) PARD3,FALSE,interacts-with,DLG1 (interacts-with) PARD3
DLG1,SCRIB,0.475,0,0.022,0.197,0.206,0.138,0.493,0.475,interacts-with,DLG1 (interacts-with) SCRIB,FALSE,interacts-with,DLG1 (interacts-with) SCRIB
POLR1B,POLR1E,0.376,0,0.188,0.313,0.403,0.47,0.659,0.376,interacts-with,POLR1B (interacts-with) POLR1E,FALSE,interacts-with,POLR1B (interacts-with) POLR1E
ATXN2,CDKN2AIP,0.192,0,0.083,0.148,0.297,0.245,0.087,0.192,interacts-with,ATXN2 (interacts-with) CDKN2AIP,FALSE,interacts-with,ATXN2 (interacts-with) CDKN2AIP
ATXN2,DCP1A,0.218,0,0.012,0.335,0.302,0.159,0.074,0.218,interacts-with,ATXN2 (interacts-with) DCP1A,FALSE,interacts-with,ATXN2 (interacts-with) DCP1A
ATXN2,EDC3,0.281,0,0.035,0.198,0.384,0.344,0.197,0.281,interacts-with,ATXN2 (interacts-with) EDC3,FALSE,interacts-with,ATXN2 (interacts-with) EDC3
MAP1A,TLN1,0.182,0,0.124,0.164,0.139,0.347,0.007,0.182,interacts-with,MAP1A (interacts-with) TLN1,FALSE,interacts-with,MAP1A (interacts-with) TLN1
ACAA1,ECI2,0.278,0,0.344,0.273,0.133,0.337,0.369,0.278,interacts-with,ACAA1 (interacts-with) ECI2,FALSE,interacts-with,ACAA1 (interacts-with) ECI2
ACAA1,HSD17B4,0.343,0,0.03,0.196,0.056,0.334,0.509,0.343,interacts-with,ACAA1 (interacts-with) HSD17B4,FALSE,interacts-with,ACAA1 (interacts-with) HSD17B4
ATXN2,UPF1,0.184,0,0.064,0.217,0.301,0.14,0.014,0.184,interacts-with,ATXN2 (interacts-with) UPF1,FALSE,interacts-with,ATXN2 (interacts-with) UPF1
POLR2A,RPRD2,0.346,0,0.033,0.249,0.424,0.42,0.002,0.346,interacts-with,POLR2A (interacts-with) RPRD2,FALSE,interacts-with,POLR2A (interacts-with) RPRD2
POLR2A,WDR33,0.218,0,0.029,0.294,0.194,0.357,0.094,0.218,interacts-with,POLR2A (interacts-with) WDR33,FALSE,interacts-with,POLR2A (interacts-with) WDR33
ACADM,ACADSB,0.238,0,0.017,0.237,0.19,0.295,0.36,0.238,interacts-with,ACADM (interacts-with) ACADSB,FALSE,interacts-with,ACADM (interacts-with) ACADSB
ACADM,ALDH6A1,0.419,0,0.053,0.235,0.155,0.361,0.486,0.419,interacts-with,ACADM (interacts-with) ALDH6A1,FALSE,interacts-with,ACADM (interacts-with) ALDH6A1
ACADM,ECHS1,0.257,0,0.018,0.229,0.185,0.347,0.366,0.257,interacts-with,ACADM (interacts-with) ECHS1,FALSE,interacts-with,ACADM (interacts-with) ECHS1
DNAAF5,GCN1,0.298,0,0.057,0.233,0.428,0.269,0.001,0.298,interacts-with,DNAAF5 (interacts-with) GCN1,FALSE,interacts-with,DNAAF5 (interacts-with) GCN1
ACADM,HSD17B4,0.186,0,0.03,0.2,0.128,0.242,0.353,0.186,interacts-with,ACADM (interacts-with) HSD17B4,FALSE,interacts-with,ACADM (interacts-with) HSD17B4
ACADSB,ALDH6A1,0.246,0,0.198,0.351,0.15,0.325,0.361,0.246,interacts-with,ACADSB (interacts-with) ALDH6A1,FALSE,interacts-with,ACADSB (interacts-with) ALDH6A1
ACADSB,ECHS1,0.3,0,0.112,0.341,0.243,0.364,0.361,0.3,interacts-with,ACADSB (interacts-with) ECHS1,FALSE,interacts-with,ACADSB (interacts-with) ECHS1
ACBD3,ALDH18A1,0.226,0,0.049,0.209,0.158,0.461,0.012,0.226,interacts-with,ACBD3 (interacts-with) ALDH18A1,FALSE,interacts-with,ACBD3 (interacts-with) ALDH18A1
AUP1,UBAC2,0.229,0,0.023,0.256,0.325,0.189,0.089,0.229,interacts-with,AUP1 (interacts-with) UBAC2,FALSE,interacts-with,AUP1 (interacts-with) UBAC2
AUP1,VAPB,0.196,0,0.065,0.123,0.222,0.319,0.005,0.196,interacts-with,AUP1 (interacts-with) VAPB,FALSE,interacts-with,AUP1 (interacts-with) VAPB
ACBD3,USO1,0.214,0,0.011,0.283,0.143,0.327,0.234,0.214,interacts-with,ACBD3 (interacts-with) USO1,FALSE,interacts-with,ACBD3 (interacts-with) USO1
GPS1,PPP5C,0.188,0,0.062,0.331,0.228,0.132,0.01,0.188,interacts-with,GPS1 (interacts-with) PPP5C,FALSE,interacts-with,GPS1 (interacts-with) PPP5C
GPS2,HDAC3,0.44,0,0.248,0.186,0.503,0.336,0.007,0.44,interacts-with,GPS2 (interacts-with) HDAC3,FALSE,interacts-with,GPS2 (interacts-with) HDAC3
GPS2,NCOR1,0.584,0,0.217,0.151,0.506,0.448,0.099,0.584,interacts-with,GPS2 (interacts-with) NCOR1,FALSE,interacts-with,GPS2 (interacts-with) NCOR1
GPS2,NCOR2,0.464,0,0.078,0.142,0.501,0.344,0.016,0.464,interacts-with,GPS2 (interacts-with) NCOR2,FALSE,interacts-with,GPS2 (interacts-with) NCOR2
GPS2,TBL1X,0.45,0,0.004,0.063,0.523,0.238,0.001,0.45,interacts-with,GPS2 (interacts-with) TBL1X,FALSE,interacts-with,GPS2 (interacts-with) TBL1X
GPS2,TBL1XR1,0.453,0,0.177,0.194,0.513,0.236,0.146,0.453,interacts-with,GPS2 (interacts-with) TBL1XR1,FALSE,interacts-with,GPS2 (interacts-with) TBL1XR1
GPSM1,LZTS2,0.191,0,0.047,0.28,0.2,0.094,0.036,0.191,interacts-with,GPSM1 (interacts-with) LZTS2,FALSE,interacts-with,GPSM1 (interacts-with) LZTS2
DNAJB1,HSPA6,0.448,0,0.09,0.528,0.188,0.246,0.541,0.448,interacts-with,DNAJB1 (interacts-with) HSPA6,FALSE,interacts-with,DNAJB1 (interacts-with) HSPA6
DNAJB1,NUDC,0.414,0,0.013,0.088,0.46,0.347,0.009,0.414,interacts-with,DNAJB1 (interacts-with) NUDC,FALSE,interacts-with,DNAJB1 (interacts-with) NUDC
MAPRE1,TCF12,0.207,0,0.078,0.226,0.269,0.231,0.11,0.207,interacts-with,MAPRE1 (interacts-with) TCF12,FALSE,interacts-with,MAPRE1 (interacts-with) TCF12
MAPRE1,TOM1,0.193,0,0.088,0.148,0.386,0.182,0.102,0.193,interacts-with,MAPRE1 (interacts-with) TOM1,FALSE,interacts-with,MAPRE1 (interacts-with) TOM1
DNAJB1,STIP1,0.481,0,0.132,0.121,0.235,0.266,0.452,0.481,interacts-with,DNAJB1 (interacts-with) STIP1,FALSE,interacts-with,DNAJB1 (interacts-with) STIP1
GPX8,P3H1,0.259,0,0.192,0.436,0.056,0.549,0.008,0.259,interacts-with,GPX8 (interacts-with) P3H1,FALSE,interacts-with,GPX8 (interacts-with) P3H1
GPX8,P3H4,0.182,0,0.038,0.302,0.052,0.522,0.015,0.182,interacts-with,GPX8 (interacts-with) P3H4,FALSE,interacts-with,GPX8 (interacts-with) P3H4
GPX8,PLOD1,0.247,0,0.237,0.34,0.055,0.504,0.112,0.247,interacts-with,GPX8 (interacts-with) PLOD1,FALSE,interacts-with,GPX8 (interacts-with) PLOD1
GPX8,PTK7,0.288,0,0.015,0.284,0.038,0.496,0.094,0.288,interacts-with,GPX8 (interacts-with) PTK7,FALSE,interacts-with,GPX8 (interacts-with) PTK7
MARK2,PARD3,0.389,0,0.066,0.14,0.212,0.246,0.441,0.389,interacts-with,MARK2 (interacts-with) PARD3,FALSE,interacts-with,MARK2 (interacts-with) PARD3
MARK2,PRKCI,0.454,0,0.104,0.206,0.467,0.279,0.346,0.454,interacts-with,MARK2 (interacts-with) PRKCI,FALSE,interacts-with,MARK2 (interacts-with) PRKCI
MARK2,YWHAH,0.46,0,0.025,0.178,0.493,0.119,0,0.46,interacts-with,MARK2 (interacts-with) YWHAH,FALSE,interacts-with,MARK2 (interacts-with) YWHAH
MARK2,YWHAG,0.448,0,0.042,0.189,0.483,0.177,0.009,0.448,interacts-with,MARK2 (interacts-with) YWHAG,FALSE,interacts-with,MARK2 (interacts-with) YWHAG
CDKN2AIP,PPM1G,0.185,0,0.129,0.179,0.234,0.24,0.102,0.185,interacts-with,CDKN2AIP (interacts-with) PPM1G,FALSE,interacts-with,CDKN2AIP (interacts-with) PPM1G
GRIA2,GRIA4,0.406,0,0.014,0.136,0.111,0.002,0.462,0.406,interacts-with,GRIA2 (interacts-with) GRIA4,FALSE,interacts-with,GRIA2 (interacts-with) GRIA4
GRIA2,GRIN2B,0.212,0,0.129,0.053,0.074,0.048,0.342,0.212,interacts-with,GRIA2 (interacts-with) GRIN2B,FALSE,interacts-with,GRIA2 (interacts-with) GRIN2B
GRIA4,GRIN2B,0.363,0,0.041,0.036,0.071,0.005,0.342,0.363,interacts-with,GRIA4 (interacts-with) GRIN2B,FALSE,interacts-with,GRIA4 (interacts-with) GRIN2B
MATR3,NCBP2,0.21,0,0.088,0.283,0.063,0.361,0.099,0.21,interacts-with,MATR3 (interacts-with) NCBP2,FALSE,interacts-with,MATR3 (interacts-with) NCBP2
MATR3,SLTM,0.269,0,0.136,0.35,0.134,0.439,0.1,0.269,interacts-with,MATR3 (interacts-with) SLTM,FALSE,interacts-with,MATR3 (interacts-with) SLTM
MATR3,TIAL1,0.188,0,0.059,0.325,0.061,0.329,0.083,0.188,interacts-with,MATR3 (interacts-with) TIAL1,FALSE,interacts-with,MATR3 (interacts-with) TIAL1
MBD2,MBD3,0.716,0,0.064,0.138,0.646,0.084,0.342,0.716,interacts-with,MBD2 (interacts-with) MBD3,FALSE,interacts-with,MBD2 (interacts-with) MBD3
MBD2,MTA1,0.487,0,0.046,0.156,0.525,0.105,0.107,0.487,interacts-with,MBD2 (interacts-with) MTA1,FALSE,interacts-with,MBD2 (interacts-with) MTA1
MBD2,MTA2,0.771,0,0.362,0.3,0.738,0.302,0.006,0.771,interacts-with,MBD2 (interacts-with) MTA2,FALSE,interacts-with,MBD2 (interacts-with) MTA2
MBD2,MTA3,0.771,0,0.184,0.174,0.827,0.166,0.152,0.771,interacts-with,MBD2 (interacts-with) MTA3,FALSE,interacts-with,MBD2 (interacts-with) MTA3
MBD2,PHF21A,0.209,0,0.027,0.202,0.414,0.094,0.115,0.209,interacts-with,MBD2 (interacts-with) PHF21A,FALSE,interacts-with,MBD2 (interacts-with) PHF21A
MBD2,RBBP4,0.647,0,0.096,0.207,0.608,0.272,0.01,0.647,interacts-with,MBD2 (interacts-with) RBBP4,FALSE,interacts-with,MBD2 (interacts-with) RBBP4
MBD2,RBBP7,0.685,0,0.004,0.24,0.701,0.167,0.076,0.685,interacts-with,MBD2 (interacts-with) RBBP7,FALSE,interacts-with,MBD2 (interacts-with) RBBP7
MBD2,RCOR1,0.202,0,0.09,0.185,0.414,0.148,0.135,0.202,interacts-with,MBD2 (interacts-with) RCOR1,FALSE,interacts-with,MBD2 (interacts-with) RCOR1
MBD2,SAP30,0.348,0,0.067,0.17,0.439,0.15,0.016,0.348,interacts-with,MBD2 (interacts-with) SAP30,FALSE,interacts-with,MBD2 (interacts-with) SAP30
MBD2,SAP30L,0.191,0,0.023,0.114,0.422,0.172,0.002,0.191,interacts-with,MBD2 (interacts-with) SAP30L,FALSE,interacts-with,MBD2 (interacts-with) SAP30L
MBD2,SAP130,0.204,0,0.123,0.223,0.402,0.1,0.19,0.204,interacts-with,MBD2 (interacts-with) SAP130,FALSE,interacts-with,MBD2 (interacts-with) SAP130
MBD2,SIN3A,0.558,0,0.056,0.212,0.548,0.132,0.012,0.558,interacts-with,MBD2 (interacts-with) SIN3A,FALSE,interacts-with,MBD2 (interacts-with) SIN3A
MBD2,SUDS3,0.405,0,0.083,0.182,0.477,0.227,0.077,0.405,interacts-with,MBD2 (interacts-with) SUDS3,FALSE,interacts-with,MBD2 (interacts-with) SUDS3
MBD2,XRCC5,0.199,0,0.096,0.259,0.246,0.166,0.014,0.199,interacts-with,MBD2 (interacts-with) XRCC5,FALSE,interacts-with,MBD2 (interacts-with) XRCC5
MBD3,MTA2,0.675,0,0.101,0.259,0.612,0.298,0.165,0.675,interacts-with,MBD3 (interacts-with) MTA2,FALSE,interacts-with,MBD3 (interacts-with) MTA2
MBD3,MTA3,0.747,0,0.07,0.187,0.722,0.162,0.01,0.747,interacts-with,MBD3 (interacts-with) MTA3,FALSE,interacts-with,MBD3 (interacts-with) MTA3
MBD3,MTA1,0.74,0,0.081,0.194,0.663,0.23,0.093,0.74,interacts-with,MBD3 (interacts-with) MTA1,FALSE,interacts-with,MBD3 (interacts-with) MTA1
MBD3,PHF21A,0.184,0,0.114,0.108,0.399,0.193,0.012,0.184,interacts-with,MBD3 (interacts-with) PHF21A,FALSE,interacts-with,MBD3 (interacts-with) PHF21A
MBD3,RBBP7,0.722,0,0.012,0.25,0.623,0.219,0.005,0.722,interacts-with,MBD3 (interacts-with) RBBP7,FALSE,interacts-with,MBD3 (interacts-with) RBBP7
MBD3,RNF40,0.21,0,0.089,0.285,0.237,0.258,0.003,0.21,interacts-with,MBD3 (interacts-with) RNF40,FALSE,interacts-with,MBD3 (interacts-with) RNF40
MBD3,SAP30,0.291,0,0.043,0.301,0.431,0.259,0.075,0.291,interacts-with,MBD3 (interacts-with) SAP30,FALSE,interacts-with,MBD3 (interacts-with) SAP30
MBD3,SIN3A,0.247,0,0.178,0.228,0.435,0.118,0.116,0.247,interacts-with,MBD3 (interacts-with) SIN3A,FALSE,interacts-with,MBD3 (interacts-with) SIN3A
MBD3,SUDS3,0.443,0,0.176,0.203,0.461,0.169,0.009,0.443,interacts-with,MBD3 (interacts-with) SUDS3,FALSE,interacts-with,MBD3 (interacts-with) SUDS3
MBD3,WIZ,0.205,0,0.049,0.273,0.301,0.07,0.082,0.205,interacts-with,MBD3 (interacts-with) WIZ,FALSE,interacts-with,MBD3 (interacts-with) WIZ
MBD5,USP34,0.214,0,0.051,0.404,0.038,0.047,0.071,0.214,interacts-with,MBD5 (interacts-with) USP34,FALSE,interacts-with,MBD5 (interacts-with) USP34
MBD5,NCOA6,0.198,0,0.056,0.354,0.045,0.007,0.139,0.198,interacts-with,MBD5 (interacts-with) NCOA6,FALSE,interacts-with,MBD5 (interacts-with) NCOA6
MBD5,NSD1,0.193,0,0.069,0.323,0.068,0.001,0.383,0.193,interacts-with,MBD5 (interacts-with) NSD1,FALSE,interacts-with,MBD5 (interacts-with) NSD1
MBOAT7,SEL1L,0.197,0,0.066,0.15,0.251,0.332,0.165,0.197,interacts-with,MBOAT7 (interacts-with) SEL1L,FALSE,interacts-with,MBOAT7 (interacts-with) SEL1L
GSN,IQGAP1,0.321,0,0.077,0.199,0.44,0.213,0.009,0.321,interacts-with,GSN (interacts-with) IQGAP1,FALSE,interacts-with,GSN (interacts-with) IQGAP1
GSN,LIMA1,0.59,0,0.063,0.274,0.516,0.214,0.006,0.59,interacts-with,GSN (interacts-with) LIMA1,FALSE,interacts-with,GSN (interacts-with) LIMA1
GSN,MYO1B,0.26,0,0.04,0.224,0.424,0.179,0.119,0.26,interacts-with,GSN (interacts-with) MYO1B,FALSE,interacts-with,GSN (interacts-with) MYO1B
GSN,MYO1C,0.461,0,0.085,0.302,0.443,0.362,0.21,0.461,interacts-with,GSN (interacts-with) MYO1C,FALSE,interacts-with,GSN (interacts-with) MYO1C
GSN,MYO1D,0.19,0,0.018,0.147,0.176,0.364,0.184,0.19,interacts-with,GSN (interacts-with) MYO1D,FALSE,interacts-with,GSN (interacts-with) MYO1D
GSN,MYO1E,0.241,0,0.039,0.237,0.372,0.259,0.077,0.241,interacts-with,GSN (interacts-with) MYO1E,FALSE,interacts-with,GSN (interacts-with) MYO1E
GSN,MYO18A,0.244,0,0.102,0.126,0.414,0.293,0.077,0.244,interacts-with,GSN (interacts-with) MYO18A,FALSE,interacts-with,GSN (interacts-with) MYO18A
GSN,MPRIP,0.284,0,0.062,0.185,0.417,0.358,0.011,0.284,interacts-with,GSN (interacts-with) MPRIP,FALSE,interacts-with,GSN (interacts-with) MPRIP
GSN,MYH9,0.492,0,0.129,0.29,0.455,0.393,0.125,0.492,interacts-with,GSN (interacts-with) MYH9,FALSE,interacts-with,GSN (interacts-with) MYH9
GSN,MYH10,0.307,0,0.023,0.079,0.438,0.308,0.075,0.307,interacts-with,GSN (interacts-with) MYH10,FALSE,interacts-with,GSN (interacts-with) MYH10
GSN,PLEC,0.285,0,0.158,0.283,0.408,0.37,0.085,0.285,interacts-with,GSN (interacts-with) PLEC,FALSE,interacts-with,GSN (interacts-with) PLEC
GSN,PLEKHG3,0.316,0,0.002,0.22,0.432,0.08,0.036,0.316,interacts-with,GSN (interacts-with) PLEKHG3,FALSE,interacts-with,GSN (interacts-with) PLEKHG3
GSN,NEXN,0.265,0,0.115,0.196,0.415,0.337,0.006,0.265,interacts-with,GSN (interacts-with) NEXN,FALSE,interacts-with,GSN (interacts-with) NEXN
GSN,PPP1R12A,0.235,0,0.014,0.141,0.412,0.26,0.094,0.235,interacts-with,GSN (interacts-with) PPP1R12A,FALSE,interacts-with,GSN (interacts-with) PPP1R12A
GSN,SVIL,0.311,0,0.126,0.248,0.41,0.355,0.097,0.311,interacts-with,GSN (interacts-with) SVIL,FALSE,interacts-with,GSN (interacts-with) SVIL
MCM3AP,NUP153,0.309,0,0.133,0.295,0.183,0.443,0.015,0.309,interacts-with,MCM3AP (interacts-with) NUP153,FALSE,interacts-with,MCM3AP (interacts-with) NUP153
DNM2,SNX9,0.488,0,0.194,0.18,0.523,0.199,0.003,0.488,interacts-with,DNM2 (interacts-with) SNX9,FALSE,interacts-with,DNM2 (interacts-with) SNX9
AXIN1,CTNNB1,0.646,0,0.035,0.157,0.524,0.063,0.342,0.646,interacts-with,AXIN1 (interacts-with) CTNNB1,FALSE,interacts-with,AXIN1 (interacts-with) CTNNB1
AXIN1,MARK2,0.192,0,0.171,0.274,0.221,0.073,0.005,0.192,interacts-with,AXIN1 (interacts-with) MARK2,FALSE,interacts-with,AXIN1 (interacts-with) MARK2
AXIN1,SCRIB,0.189,0,0.044,0.239,0.246,0.007,0.189,0.189,interacts-with,AXIN1 (interacts-with) SCRIB,FALSE,interacts-with,AXIN1 (interacts-with) SCRIB
DNMT3A,EHMT1,0.485,0,0.035,0.31,0.496,0.361,0.009,0.485,interacts-with,DNMT3A (interacts-with) EHMT1,FALSE,interacts-with,DNMT3A (interacts-with) EHMT1
DNMT3A,EHMT2,0.495,0,0.07,0.34,0.483,0.37,0.099,0.495,interacts-with,DNMT3A (interacts-with) EHMT2,FALSE,interacts-with,DNMT3A (interacts-with) EHMT2
DNMT3A,GATAD2B,0.194,0,0.024,0.3,0.194,0.302,0.013,0.194,interacts-with,DNMT3A (interacts-with) GATAD2B,FALSE,interacts-with,DNMT3A (interacts-with) GATAD2B
DNMT3A,HDAC2,0.353,0,0.056,0.274,0.312,0.451,0.004,0.353,interacts-with,DNMT3A (interacts-with) HDAC2,FALSE,interacts-with,DNMT3A (interacts-with) HDAC2
DNMT3A,KDM1A,0.28,0,0.055,0.301,0.247,0.374,0.012,0.28,interacts-with,DNMT3A (interacts-with) KDM1A,FALSE,interacts-with,DNMT3A (interacts-with) KDM1A
DNMT3A,MDC1,0.213,0,0.081,0.297,0.232,0.263,0.014,0.213,interacts-with,DNMT3A (interacts-with) MDC1,FALSE,interacts-with,DNMT3A (interacts-with) MDC1
DNMT3A,MTA3,0.209,0,0.002,0.211,0.24,0.266,0.095,0.209,interacts-with,DNMT3A (interacts-with) MTA3,FALSE,interacts-with,DNMT3A (interacts-with) MTA3
DNMT3A,PARP2,0.202,0,0.04,0.162,0.36,0.27,0.006,0.202,interacts-with,DNMT3A (interacts-with) PARP2,FALSE,interacts-with,DNMT3A (interacts-with) PARP2
DNMT3A,RBBP7,0.256,0,0.012,0.19,0.374,0.278,0.078,0.256,interacts-with,DNMT3A (interacts-with) RBBP7,FALSE,interacts-with,DNMT3A (interacts-with) RBBP7
DNMT3A,RBBP4,0.299,0,0.134,0.322,0.321,0.401,0.011,0.299,interacts-with,DNMT3A (interacts-with) RBBP4,FALSE,interacts-with,DNMT3A (interacts-with) RBBP4
DNMT3A,SAP30,0.184,0,0.016,0.178,0.359,0.189,0.082,0.184,interacts-with,DNMT3A (interacts-with) SAP30,FALSE,interacts-with,DNMT3A (interacts-with) SAP30
DNMT3A,SAP130,0.211,0,0.068,0.34,0.328,0.161,0.012,0.211,interacts-with,DNMT3A (interacts-with) SAP130,FALSE,interacts-with,DNMT3A (interacts-with) SAP130
DNMT3A,SIN3A,0.199,0,0.076,0.28,0.3,0.18,0.013,0.199,interacts-with,DNMT3A (interacts-with) SIN3A,FALSE,interacts-with,DNMT3A (interacts-with) SIN3A
DNMT3A,SUDS3,0.183,0,0.064,0.248,0.288,0.148,0.071,0.183,interacts-with,DNMT3A (interacts-with) SUDS3,FALSE,interacts-with,DNMT3A (interacts-with) SUDS3
DNMT3A,WIZ,0.224,0,0.054,0.262,0.19,0.281,0.098,0.224,interacts-with,DNMT3A (interacts-with) WIZ,FALSE,interacts-with,DNMT3A (interacts-with) WIZ
